resale_price,lease_remain_years,bhk,floor,address_encoded_numeric
255000.0,62,3,8.0,20
275000.0,57,3,2.0,20
285000.0,56,3,2.0,20
290000.0,55,3,2.0,20
290000.0,56,3,8.0,20
290000.0,56,3,8.0,20
290000.0,56,3,2.0,20
293000.0,57,3,2.0,20
300000.0,54,3,2.0,20
307500.0,61,3,14.0,20
308000.0,52,3,8.0,20
312000.0,56,3,11.0,20
312000.0,57,3,11.0,20
319000.0,55,3,8.0,20
320000.0,55,3,8.0,20
320000.0,56,3,8.0,20
325000.0,57,3,11.0,20
325000.0,55,3,2.0,20
325000.0,56,3,8.0,20
330000.0,61,3,8.0,20
330000.0,57,3,11.0,20
335000.0,55,3,11.0,20
338000.0,56,3,11.0,20
340000.0,53,3,11.0,20
340000.0,57,3,5.0,20
341000.0,57,3,5.0,20
345000.0,54,3,8.0,20
350000.0,55,3,8.0,20
355000.0,61,3,8.0,20
355000.0,56,3,8.0,20
370000.0,55,3,5.0,20
410000.0,55,3,8.0,20
385000.0,55,4,2.0,20
410000.0,56,4,5.0,20
416888.0,56,4,11.0,20
423000.0,54,4,5.0,20
438000.0,57,4,11.0,20
438000.0,55,4,5.0,20
450000.0,57,4,2.0,20
450000.0,56,4,8.0,20
465000.0,55,4,11.0,20
465000.0,53,4,8.0,20
475000.0,52,4,2.0,20
475000.0,55,4,8.0,20
476000.0,54,4,11.0,20
480000.0,55,4,8.0,20
483000.0,54,4,8.0,20
485000.0,55,4,8.0,20
486888.0,55,4,8.0,20
583000.0,54,4,8.0,20
600888.0,78,4,5.0,20
533000.0,69,5,8.0,20
570000.0,56,5,2.0,20
580000.0,72,5,2.0,20
645000.0,55,5,20.0,20
650000.0,53,5,14.0,20
670000.0,56,5,2.0,20
755000.0,82,5,14.0,20
820000.0,79,5,20.0,20
246000.0,62,2,8.0,20
255000.0,54,2,8.0,20
270000.0,54,3,8.0,20
280000.0,56,3,8.0,20
280000.0,56,3,2.0,20
282000.0,52,3,5.0,20
285000.0,56,3,8.0,20
285000.0,54,3,8.0,20
285000.0,55,3,5.0,20
285000.0,55,3,5.0,20
285000.0,62,3,8.0,20
285000.0,61,3,11.0,20
288000.0,54,3,5.0,20
288000.0,57,3,5.0,20
290000.0,62,3,5.0,20
291000.0,56,3,2.0,20
292000.0,58,3,2.0,20
295000.0,61,3,5.0,20
300000.0,55,3,8.0,20
300000.0,55,3,2.0,20
305000.0,55,3,2.0,20
308000.0,53,3,2.0,20
310000.0,55,3,2.0,20
310000.0,56,3,5.0,20
310000.0,56,3,5.0,20
310000.0,53,3,2.0,20
310800.0,54,3,5.0,20
313000.0,61,3,5.0,20
315000.0,55,3,11.0,20
315000.0,56,3,5.0,20
315000.0,57,3,5.0,20
318000.0,58,3,11.0,20
320000.0,54,3,8.0,20
320000.0,50,3,2.0,20
320000.0,61,3,5.0,20
323000.0,55,3,5.0,20
332000.0,55,3,11.0,20
338000.0,52,3,8.0,20
339000.0,52,3,11.0,20
342000.0,55,3,11.0,20
355000.0,54,3,8.0,20
358000.0,55,3,8.0,20
378000.0,53,3,11.0,20
458000.0,86,3,5.0,20
500000.0,86,3,17.0,20
355000.0,55,4,2.0,20
360000.0,63,4,2.0,20
369000.0,63,4,14.0,20
378000.0,54,4,5.0,20
385000.0,54,4,5.0,20
388000.0,54,4,5.0,20
390000.0,56,4,17.0,20
395000.0,55,4,8.0,20
397000.0,54,4,2.0,20
400000.0,55,4,11.0,20
405000.0,53,4,8.0,20
408000.0,52,4,11.0,20
410000.0,53,4,14.0,20
415000.0,53,4,5.0,20
418000.0,60,4,5.0,20
420000.0,55,4,11.0,20
425000.0,54,4,2.0,20
438000.0,54,4,14.0,20
441888.0,54,4,11.0,20
450000.0,55,4,11.0,20
485000.0,76,4,20.0,20
500000.0,76,4,20.0,20
530000.0,76,4,14.0,20
560000.0,82,4,17.0,20
420000.0,69,5,5.0,20
440000.0,58,5,8.0,20
480000.0,61,5,8.0,20
500000.0,54,5,5.0,20
500000.0,54,5,8.0,20
530000.0,56,5,2.0,20
550000.0,69,5,2.0,20
563000.0,72,5,5.0,20
575000.0,56,5,8.0,20
575000.0,61,5,2.0,20
618888.0,56,5,11.0,20
620000.0,69,5,8.0,20
635000.0,53,5,17.0,20
637000.0,53,5,2.0,20
688000.0,65,5,2.0,20
768000.0,53,5,17.0,20
392000.0,60,3,2.0,20
410000.0,68,4,2.0,20
438000.0,61,4,2.0,20
470000.0,68,4,2.0,20
475000.0,68,4,8.0,20
485000.0,63,4,2.0,20
520000.0,68,4,2.0,20
530000.0,62,4,8.0,20
535000.0,68,4,5.0,20
538000.0,64,4,8.0,20
565000.0,61,4,2.0,20
570000.0,68,4,8.0,20
570000.0,60,4,2.0,20
585000.0,68,4,8.0,20
588000.0,74,4,11.0,20
675000.0,68,4,23.0,20
